/* ITS A GIFT, WITh NO VALUE YOU CAN MEASURE,
*  FOR YOU AND ANYONE BESIDES YOU.
*  0xe328d8daa44b766f8a2e04e0479f6b316c0bf290
*/ 

"GENESIS L1 GIFT v1",
"0x90efcae2f13497881f20528cb5bbaacb74c6a09e",6241
"0x1b0807d59d630926ed422dec8b5884c9cf36afed",6190
"0x8c5df551693b9905f36a61352062f1cf433420cc",6120
"0xa45cf0b416067cbac4cd76e71029f53c67520d87",6063
"0xfa7bd4b2b8ec60b35d881131f71d364a76cad888",6026
"0x84f0a7680b7bd0fb81186ecc2500b55ba401fda0",6011
"0x25bfb4440eabe6316568c1037ca15de16a3b55d0",6010
"0x91366ff2357e8654508a84857a396494d97465b8",6010
"0x884e790109100baed862cfb88577a2619840c157",6004
"0xfefcbd93bb5ce546734f9de2feb05bf02e1a2224",5999
"0xfb4848595072930ce4a6f03c2558838bfc361171",5955
"0xd139f1456fd74ed78c0470c23c9732dc0ee54674",5923
"0x10b602a7575b4feaa8aa19fef49ab973ac47e674",5917
"0x07b91096169af6c910e0ae5d4170cdfbe38c1c0c",5906
"0xbc53ace543a97e1e6d70c30f6c5b8510e458ef93",5879
"0x369384f6858b25d473ae2cefd34dcf9f9f7eb5b3",5825
"0x8e5cdd1faebeae48b2b2b05d874de75ae7ad720f",5816
"0xb06e6c8f0d1dd37b8bdf8bece5760c9c238a1d65",5811
"0x63fc588966deacb2908b6a596a6386f3b1dad723",5802
"0x64c5ab7c8c572ccaadb91570c1e4594e8340d0dd",5801
"0x3ac6af5dbb08c7687640f7c13d686df2268a3872",5779
"0x6fec227cb49b3a441cc099930219397d06bfc2d8",5643
"0x7b751a0a62e8b76aea8b798681931c1caaecb487",5624
"0x43bb52af6f921c63879d0f5d99dbf30344cd0498",5617
"0xb764d5f572a85b55942165d5dfd2f241456f806c",5578
"0xa1117992e1632ce97d556ea0e5f5fbb462f7e757",5549
"0x9160f25147c041c4d2f931bf0b1336dbd2888378",5530
"0x4658818aea0a139b2a87601812444f00224b6ec4",5517
"0x2b6d7515cf79600947cfd83cddba310907084688",5483
"0x6ecac262e1758ac68a9f444798a928794c5559a1",5457
"0x4d993e915d3f18fd6f345ddd668947bfe5ca3c30",5294
"0xf015bede6e33d12b3f36dd99d0adba7a90086de2",5243
"0x17849f5232aeb12d6f279281385f8031bfba2856",5231
"0x7cb9fa2edbba7a8013f250b08d0c480aba176cea",5116
"0x51a83ff70f329252415477cd370463dec737fc3e",5108
"0x48d7b4bb108d775e83f91db5e35316af8fd747de",5083
"0x198fe54264fb6ebdbdeba940e517adfcf1f2d24c",5058
"0x2a1098d1ec992180a6331af964e8c4a9e6556165",5054
"0x0f544f1b7c66646a5b14ac981b5d947167005393",5032
"0xa75f55fd492c75aac70c164962a8b6f5e8b2f223",5013
"0x59ca344c29b70931d6907a1857d8d03cfe56fabc",5008
"0x65fa06f7dfe88a1d20203933d093f479497f293f",5008
"0xa0cc3672c9e909df507b8b9e983f9e640d25bf2b",5000
"0x8cc140e41f064079f921f53a1c36e765db4b7e59",4999
"0xc4f95a176aeb2ab975dfbccf7fa8cf0ca46a4cae",4999
"0xe75a40dee91d1f499fbd523ade83d88ab8f38221",4999
"0x02f975a370ee91b9dfcc629263ad2f815dee862a",4999
"0x6b25c0a217753edd7320a43696875fb17c967a0f",4999
"0x952e430c56301eb302e25b6073b042dea5bc32b0",4999
"0x3a472fd2bab732329ea490440e8015e126a4fdb7",4999
"0xa94ca4604b4d65eebca3876959072948a37d8ea7",4996
"0x9ff0ee38a6727e2efbe27be734ee7fc540f27902",4982
"0x95d11b97c646a42d9183ce2d22a8aabe66d7e0dd",4942
"0x9080196182f77b89bb5b0eee3ddb48cfa716c4c3",4941
"0x1677eb7d702357aa483ea880f94504c688017818",4937
"0xbaee3f2ad0f80345ab22743b1af3b0a45a280dd4",4881
"0xb4c6a19c933846a79ffca8add5bf2bf0d272f552",4755
"0xebbe9dfbf5b067a7d94d2a644f0a2bea28193b93",4735
"0xca1d5521b21fc6c022c7279d1d4c12d6b3d8bdad",4717
"0xd2150bdad2e4f2281192efc368d4806b7b9f602c",4683
"0xc5da912ce30e521dad749a3b4388a18168324973",4669
"0x796703f2ab5622feb8336142618b7eecad2498e1",4645
"0x93ee03d1273be1e02fd775ee7890e9773c242494",4634
"0x34e80625d954c3d505a723e696416bf412acc2b8",4627
"0x82486cb24d6da0173ebb7c1e2fed314f8a1daf9d",4516
"0x1cd7117024ce6181d4bc563749b0127703bd3741",4512
"0x75ff1e20540034e0bbeb3388cd35c414cbf5adca",4507
"0xe740e73fc8a2f1c3e7ff76ce126497f721dabf34",4501
"0xf7f45b2e47d022590bff89984c4a545efb4493f5",4463
"0xf7de4b6938063738eed4e979571aced8bd61b5de",4452
"0xe367d18ca4a1d8c297a6b72906629c06169bd5f6",4445
"0xc03bd762ff7a58a6bbd2828dcf955082c51c5e46",4427
"0x111c2eb120eb6fcd08a008db5879850099e6338a",4406
"0x8e4c59e19ae7be811cc23292b3b40d631d177d2d",4381
"0x8e22f73b6451108a917f9f2db2afe6c88cdab26d",4362
"0x26fe79c9206df7d063126f00f6bcde5dc10ca784",4348
"0x19575b3b561c047c2800a4f62a8c8113a5c39ba4",4329
"0x58fbe3b9e6513944bdbd0a7871efc0086da3b0c4",4309
"0xf8223241104612b335ec608325576b0569bc2d8d",4302
"0x2fc8acb9eb27aeb492e995291c08376e2eebba5f",4292
"0xd1bddcf41880d5add87f7c2b4bf54f5fb376954f",4265
"0xee1d0fe9b427c325ecb7d8642bd0c398d77461d8",4255
"0xbbbaa1b70761e1f23fcee27ab2334503535aa05e",4208
"0x32a9be580423d5a6185341a2f95562f99c26d81f",4165
"0x4fa7887e2a3967f4de47a65efc54b0a8bf56b409",4152
"0x0698be8e21131b724ffd8bf080df01d063c5deee",4090
"0xb089723d7d6e9bb113d348d2d234fd2f89df53d1",4089
"0x9aa2e0c620174b6dcc432b21b9cce02c2f33c237",4081
"0xc70daf7356bc5f2ef6008e0faa7e076c47c6e7f3",4060
"0x0c9964684c8ffeffafb38f5771f955dd96ef853d",4054
"0x0becc22e478edcefe4fb105f39e280eca3d580fd",4037
"0x8cda38761a6d4ab7783fd7f07b19eb3a3dfd661d",4014
"0x13a4f78027605fa9c7f15296fdbc97240e8c7019",4009
"0xbcf23cee5d526b7222ae927da3f0ddfd34f1d6e1",4006
"0x48aef88747300ce15cd4eff0fcda78c061da2d1e",4004
"0x9f6c92cd5be01cf37aa44292bd14abf9204adb84",3999
"0x27d48b1401f21566fc428560af2839ef3c86adc6",3999
